time,static_pressure,total_pressure,position_z
476.859,87756.4,87763.83319192994,1199.128
477.037,87763.0,87770.43375096685,1198.512
477.216,87769.5,87775.64401859813,1197.896
477.397,87776.2,87782.34448760987,1197.273
477.576,87782.7,87788.84494262123,1196.653
477.753,87789.3,87795.44540463279,1196.034
477.931,87795.9,87802.04586664433,1195.417
478.11,87802.5,87808.64632865589,1194.797
478.288,87809.1,87815.24679066744,1194.179
478.467,87815.59999999999,87821.74724567881,1193.56
478.645,87822.2,87828.34770769037,1192.942
478.824,87828.8,87834.94816970192,1192.323
479.003,87835.40000000001,87841.54863171348,1191.704
479.181,87842.0,87848.14909372502,1191.086
479.36,87848.5,87854.64954873639,1190.468
479.538,87855.1,87862.54155207284,1189.848
479.717,87861.7,87867.85047275948,1189.232
479.896,87868.3,87874.45093477104,1188.611
480.074,87874.90000000001,87881.0513967826,1187.994
480.253,87881.4,87887.55185179396,1187.374
480.431,87888.0,87894.15231380552,1186.756
480.608,87894.6,87902.04489782405,1186.139
480.787,87901.09999999999,87907.25323082843,1185.526
480.969,87907.7,87913.85369283998,1184.904
481.148,87914.3,87920.45415485154,1184.283
481.326,87920.9,87927.05461686308,1183.666
481.504,87927.5,87934.94768453835,1183.048
481.683,87934.0,87940.15553388602,1182.432
481.862,87940.59999999999,87946.75599589756,1181.811
482.04,87947.2,87953.35645790912,1181.194
482.218,87953.8,87959.95691992067,1180.576
482.397,87960.29999999999,87966.45737493203,1179.957
482.575,87966.9,87974.35102181928,1179.339
482.752,87973.5,87979.65829895514,1178.724
482.931,87980.1,87986.2587609667,1178.104
483.109,87986.6,87994.05269045978,1177.486
483.286,87993.2,88000.65324949668,1176.872
483.466,87999.7,88005.86013300098,1176.255
483.647,88006.3,88012.46059501254,1175.633
483.824,88012.90000000001,88019.0610570241,1175.015
484.002,88019.5,88025.66151903564,1174.399
484.18,88026.0,88032.16197404702,1173.78
484.358,88032.6,88040.05658677763,1173.164
484.536,88039.09999999999,88045.26289106994,1172.551
484.717,88045.7,88053.1576963812,1171.929
484.895,88052.20000000001,88058.36380809288,1171.317
485.076,88058.90000000001,88065.0642771046,1170.696
485.255,88065.4,88071.56473211596,1170.077
485.433,88072.0,88079.45992405858,1169.459
485.611,88078.5,88084.6656491389,1168.845
485.791,88085.1,88091.26611115046,1168.225
485.969,88091.7,88097.866573162,1167.609
486.147,88098.29999999999,88104.46703517354,1166.99
486.325,88104.8,88110.96749018492,1166.373
486.503,88111.40000000001,88117.56795219648,1165.758
486.681,88118.0,88124.16841420802,1165.14
486.859,88124.5,88130.6688692194,1164.523
487.037,88131.1,88137.26933123096,1163.906
487.215,88137.59999999999,88143.76978624231,1163.288
487.392,88144.2,88150.37024825386,1162.672
487.57,88150.8,88156.97071026542,1162.055
487.748,88157.3,88163.4711652768,1161.44
487.927,88163.9,88170.07162728834,1160.822
488.104,88170.4,88176.57208229971,1160.205
488.282,88177.0,88183.17254431127,1159.59
488.461,88183.6,88191.06937686453,1158.972
488.638,88190.0,88196.17345433403,1158.364
